ticker,date,neg,neu,pos,compound
AMZN,2021-10-22,0.0468,0.9082000000000001,0.045,-0.00516
AMZN,2021-10-23,0.0155,0.8683333333333333,0.11616666666666668,0.11920833333333335
AMZN,2021-10-24,0.0264,0.8928,0.0808,0.11122999999999998
AMZN,2021-10-25,0.056447368421052635,0.8251842105263157,0.11836842105263158,0.1144
AMZN,2021-10-26,0.039428571428571424,0.8628571428571429,0.09771428571428571,0.06284857142857143
GOOG,2021-10-22,0.07977777777777778,0.9139999999999999,0.006222222222222223,-0.16694444444444445
GOOG,2021-10-23,0.11466666666666665,0.8370000000000001,0.04833333333333333,-0.10533333333333333
GOOG,2021-10-24,0.0,0.8869166666666667,0.11308333333333333,0.20944166666666666
GOOG,2021-10-25,0.061142857142857145,0.8434285714285714,0.09542857142857142,0.055240000000000004
GOOG,2021-10-26,0.028463414634146342,0.8667073170731706,0.10480487804878048,0.12599024390243901
TSLA,2021-10-25,0.015396226415094342,0.9162641509433962,0.06833962264150943,0.08183018867924528
TSLA,2021-10-26,0.03048936170212766,0.8420212765957448,0.12748936170212766,0.162131914893617
